count;name;price;url
402;"Ноутбук HP 15-bs; Core i3-5005U, Intel HD Graphics 5500, 4 Гб, 256 Гб, Нет";16 999;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_15_bs_core_i3_5005u_intel_hd_graphics_5500_4_gb_256_gb_net_1/
403;"Ноутбук ASUS X751N; Pentium N4200, GeForce 920MX, 8 Гб, 1 Tb";16 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_x751n_pentium_n4200_geforce_920mx_8_gb_1_tb/
404;"Ноутбук Lenovo 110-15AST; A9-9400, Radeon R5 M430, 4 Гб, 128 Гб, Нет";16 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_110_15ast_a9_9400_radeon_r5_m430_4_gb_128_gb_net/
405;"Ноутбук Lenovo; A9-9425, Radeon R5 series, 8 Гб, 120 Гб, 1 Tb";16 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_lenovo_a9_9425_radeon_r5_series_8_gb_120_gb_1_tb/
406;"Ноутбук HP; E2-9000, Radeon R2 series, 4 Гб, 250 Гб, Нет";16 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_e2_9000_radeon_r2_series_4_gb_250_gb_net/
407;"Ноутбук HP Zbook; Core i5-4300U, Quadro K2100M, 16 Гб, 256 Гб, 1.5 TB";16 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_zbook_core_i5_4300u_quadro_k2100m_16_gb_256_gb_1_5_tb_2/
408;"Ноутбук HP 430; Core i5-4200U, HD Graphics, 4 Гб, 128 Гб, Нет";16 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_430_core_i5_4200u_hd_graphics_4_gb_128_gb_net/
409;"Ноутбук HP ElitBook 820 G3; Core i3-6100, Intel HD Graphics 520, 8 Гб, 120 Гб, Нет";16 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_elitbook_820_g3_core_i3_6100_intel_hd_graphics_520_8_gb_120_gb_net_3/
410;"Ноутбук Apple MacBook Pro (13-inch, Mid 2012);";16 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_macbook_pro_13_inch_mid_2012_/
411;"Ноутбук HP ElitBook 820 G3; Core i3-6100, Intel HD Graphics 520, 8 Гб, 120 Гб, Нет";16 900;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_elitbook_820_g3_core_i3_6100_intel_hd_graphics_520_8_gb_120_gb_net_2/
